adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,quarter,year
0001213900-20-007488,NetCashProvidedByUsedInFinancingActivities,us-gaap/2019,20191231,4,USD,,,,,q1,2020
0001558370-20-000638,NetCashProvidedByUsedInFinancingActivities,us-gaap/2019,20181231,2,USD,,,-4135000.0,,q1,2020
0001564590-20-008081,LiabilitiesAndStockholdersEquity,us-gaap/2019,20191231,0,USD,,,4657122000.0,,q1,2020
0001683168-20-000193,Liabilities,us-gaap/2019,20181231,0,USD,,,8179168.0,,q1,2020
0001640334-20-000672,InterestExpenseRelatedParty,us-gaap/2019,20181231,4,USD,,,-49875.0,,q1,2020
0001130464-20-000006,IncomeTaxExpenseBenefit,us-gaap/2019,20191231,4,USD,,,29580000.0,,q1,2020
0001558370-20-001393,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap/2019,20191231,4,USD,BusinessSegments=NorthAmericaCommissaries;ConsolidationItems=OperatingSegments;,,30439000.0,,q1,2020
0001378789-20-000004,InterestExpense,us-gaap/2019,20171231,4,USD,ConsolidatedEntities=GuarantorSubsidiaries;ConsolidationItems=ReportableLegalEntities;DebtInstrument=AerCapTrustAICDCNotes;,,410000000.0,,q1,2020
0001493152-20-005149,IncreaseDecreaseInAccountsPayable,us-gaap/2019,20191231,4,USD,,,16000.0,,q1,2020
0001493152-20-005508,IncreaseDecreaseInContractWithCustomerLiability,us-gaap/2019,20171231,4,USD,,,-415000.0,,q1,2020
0001540947-20-000004,PartnersCapitalAccountUnitBasedCompensation,us-gaap/2018,20181231,4,USD,CapitalUnitsByClass=CommonUnits;PartnerTypeOfPartnersCapitalAccount=LimitedPartnerCommon;,,353000.0,,q1,2020
0001423902-20-000019,PaymentsToAcquireProductiveAssets,us-gaap/2019,20171231,4,USD,LegalEntity=WesternMidstreamOperatingLP;RelatedPartyTransactionsByRelatedParty=ThirdParties;,,177798000.0,,q1,2020
0001436425-20-000008,LoansAndLeasesReceivableNetOfDeferredIncomeCoveredAndNoncovered,0001436425-20-000008,20181231,0,USD,FinancingReceivablePortfolioSegment=ConstructionAndLandPortfolioSegment;FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=RealEstateLoans;ScheduleOfReceivablesWithImputedInterestNameOfReceivableWithImputedInterest=FinancialAssetOriginated;,,161232000.0,,q1,2020
