adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,quarter,year
0001628280-20-003093,OtherNoncontrollingInterests1,0001628280-20-003093,20191231,0,USD,Currency=AUD;,,641000000.0,,q1,2020
0001628280-20-002489,LaborAndRelatedExpense,us-gaap/2019,20171231,4,USD,ConsolidationItems=OperatingSegmentsAndCorporateNonSegment;,,413735000.0,,q1,2020
0001656936-20-000007,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,us-gaap/2018,20190331,1,USD,LegalEntity=MGPOperatingPartnership;,MGPOperatingPartnership,0.23,,q1,2020
0001104659-20-033996,InterestAndDividendIncomeOperating,us-gaap/2019,20171231,4,USD,BusinessSegments=CommercialRetailBank;,,65118000.0,,q1,2020
0001437749-20-006403,InvestmentsFairValueDisclosure,us-gaap/2019,20191231,0,USD,FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=InvestmentsInPrivateEquityFundsManagedByHCSJMPAM;,,,,q1,2020
0000737758-20-000007,NetCashProvidedByUsedInInvestingActivities,us-gaap/2018,20200131,1,USD,,,-11796000.0,,q1,2020
0001558370-20-000945,NetCashProvidedByUsedInInvestingActivities,us-gaap/2019,20171231,4,USD,,,-6521553000.0,,q1,2020
0001437749-20-004422,JuniorSubordinatedDebentureOwedToUnconsolidatedSubsidiaryTrust,us-gaap/2019,20181231,0,USD,,,10310000.0,,q1,2020
0001019056-20-000013,IssuanceOfStockAndWarrantsForServicesOrClaims,us-gaap/2019,20190930,4,USD,,,150000.0,,q1,2020
0001753926-20-000036,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,us-gaap/2019,20191231,4,USD,,,2394000.0,,q1,2020
0001174947-20-000426,IncreaseDecreaseInOtherCurrentLiabilities,us-gaap/2019,20190331,4,USD,,,209051.0,,q1,2020
0000920427-20-000017,InterestAndFeeIncomeLoansAndLeases,us-gaap/2018,20191231,4,USD,,,72327000.0,,q1,2020
0001558370-20-000574,InventoryWriteDown,us-gaap/2019,20181231,3,USD,,,617000.0,,q1,2020
0001593034-20-000019,IncomeLossFromContinuingOperationsPerDilutedShare,us-gaap/2019,20180331,1,USD,,,-2.23,,q1,2020
0001721868-20-000112,IncomeTaxExpenseBenefit,us-gaap/2019,20180630,2,USD,,,,,q1,2020
0001213900-20-002569,IncreaseDecreaseInAccruedLiabilities,us-gaap/2019,20191231,1,USD,,,55675.0,,q1,2020
0000920148-20-000011,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,us-gaap/2019,20181231,4,USD,,,27800000.0,,q1,2020
0001466538-20-000026,NetIncomeLoss,us-gaap/2019,20171231,4,USD,BusinessSegments=OperatingCompany;ConsolidationItems=OperatingSegments;,,6191000.0,,q1,2020
0001558370-20-002390,InvestmentOwnedUnrealizedGainLossOnOpenContractsNet,0001558370-20-002390,20191231,0,USD,ClassOfStock=CapitalUnitClassB;Investments=OpenContracts;InvestmentType=Swap;,,2010413.0,,q1,2020
0001326771-20-000042,DerivativeAssets,us-gaap/2019,20181231,0,USD,,,65765000.0,,q1,2020
0001193125-20-073720,DeferredIncomeTaxLiabilitiesNet,us-gaap/2019,20190430,0,USD,,,38600000.0,,q1,2020
0000933136-20-000005,ProceedsFromSaleOfMortgageServicingRightsMSR,us-gaap/2019,20171231,4,USD,ConsolidatedEntities=ParentCompany;ConsolidationItems=ReportableLegalEntities;,,0.0,,q1,2020
0001539838-20-000021,PaymentsToAcquireMineralRights,us-gaap/2019,20191231,4,USD,ConsolidatedEntities=GuarantorSubsidiaries;ConsolidationItems=ReportableLegalEntities;,,0.0,,q1,2020
0000930413-20-000859,FinancialAssetsAtFairValueThroughProfitOrLoss,ifrs/2019,20191231,0,GBP,CategoriesOfFinancialAssets=FinancialAssetsAtFairValueThroughProfitOrLossCategory;PurchaseAgreement=ReverseRepurchaseAgreement;Scenario=Offset;,,,,q1,2020
0001564590-20-010463,StockIssuedDuringPeriodSharesNewIssues,us-gaap/2019,20171031,0,shares,EquityComponents=CommonStock;SubsidiarySaleOfStock=TwoThousandAndSeventeenDirectRegisteredOffering;,,8382643.0,,q1,2020
0001101302-20-000013,Goodwill,us-gaap/2019,20191231,0,USD,BusinessAcquisition=PSSacquisitionmember;,,8804000.0,,q1,2020
0000040211-20-000017,EarningsPerShareBasic,us-gaap/2019,20171231,4,USD,,,12.95,,q1,2020
0001437749-20-005329,EarningsPerShareBasic,us-gaap/2019,20180331,1,USD,,,0.12,,q1,2020
0001363829-20-000039,PreferredStockDividendsIncomeStatementImpact,us-gaap/2019,20171231,4,USD,ConsolidatedEntities=ParentCompany;,,0.0,,q1,2020
0001564590-20-009164,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,us-gaap/2019,20181231,4,USD,ConsolidatedEntities=ParentCompany;,,10000000.0,,q1,2020
0000086312-20-000011,OtherthanTemporaryImpairmentLossesRecoveryInvestmentsPortioninOtherComprehensiveLossbeforeTaxPortionAttributableToParentAvailableforsaleSecurities,0000086312-20-000011,20191231,4,USD,ConsolidatedEntities=NonGuarantorSubsidiaries;ConsolidationItems=ReportableLegalEntities;,,1000000.0,,q1,2020
0000315858-20-000029,NotesAndLoansPayable,us-gaap/2018,20191231,0,USD,LegalEntity=Bluegreen;,Bluegreen,146160000.0,,q1,2020
0001558370-20-001967,AvailableForSaleSecuritiesDebtSecurities,us-gaap/2019,20181231,0,USD,FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=MortgageBackedSecurities;,,104983000.0,,q1,2020
0001109357-20-000053,DecommissioningFundInvestments,us-gaap/2019,20181231,0,USD,FairValueByAssetClass=AssetsTotal;,,12695000000.0,,q1,2020
0001040971-20-000006,NetIncomeLoss,us-gaap/2019,20190331,1,USD,ConsolidatedEntities=Subsidiaries;,,49808000.0,,q1,2020
0001628280-20-002497,PropertyPlantAndEquipment,ifrs/2019,20181231,0,CAD,CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmount=AccumulatedDepreciationAndAmortisation;ClassesOfPropertyPlantAndEquipment=BuildingsAndEquipment;,,-867000000.0,,q1,2020
0000051644-20-000013,CommonStockSharesAuthorized,us-gaap/2019,20181231,0,shares,,,800000000.0,,q1,2020
